47,494,241,529,270
47,439,265,466,299
47,407,349,446,383
47,427,401,457,438
47,501,404,531,440
47,482,444,510,470
47,388,450,411,483
47,368,407,401,440
47,347,450,378,474
47,367,487,403,524
47,333,509,373,543
47,462,513,499,551
47,357,536,379,557
47,468,549,499,583
47,417,585,446,618
47,498,617,527,642
47,339,583,361,611
47,324,624,339,657
47,339,615,354,649
47,389,630,420,659
47,418,672,448,704
47,430,702,453,728
47,431,728,464,760
47,537,566,568,598
47,519,653,552,684
47,499,802,527,817
47,397,935,432,972
47,550,985,573,1014
47,466,289,492,316
47,471,625,497,653
47,396,607,422,622
47,10,706,38,733
47,31,644,53,668
47,1,649,18,674
47,191,699,215,714
47,265,727,284,738
47,456,785,482,804
47,387,965,405,996
47,24,932,51,953
47,556,1067,590,1106
47,482,941,497,959
47,434,805,451,817
47,564,773,589,803
47,578,725,596,751
47,617,685,656,713
47,611,730,638,767
