47,133,772,151,797
47,188,631,211,649
47,93,572,136,607
47,138,576,173,609
47,0,471,29,507
47,0,508,9,531
47,85,440,118,464
47,135,443,167,474
47,160,402,199,444
47,190,436,221,456
47,188,390,212,417
47,119,352,158,377
47,4,328,34,359
47,135,326,160,348
47,190,244,217,276
47,576,240,603,273
47,600,251,636,289
47,574,148,602,175
47,0,237,45,280
47,11,181,48,214
47,27,214,53,230
47,2,210,24,228
47,118,181,152,213
47,43,37,78,74
47,501,39,537,82
47,475,66,508,97
47,441,70,473,102
47,201,499,228,512
47,153,611,164,624
47,182,363,204,392
47,444,33,485,57
47,496,112,525,153
47,137,381,147,399
47,114,549,132,568
47,134,752,151,768
47,100,694,113,710
47,279,918,310,955
47,397,868,427,905
47,598,556,638,592
