47,417,637,444,684
47,461,646,492,671
47,482,657,522,697
47,518,674,550,708
47,484,722,522,749
47,497,848,519,877
47,566,865,599,894
47,430,849,457,879
47,408,827,432,858
47,330,916,365,952
47,496,874,516,908
47,533,1004,568,1032
47,82,827,111,862
47,187,822,207,836
47,73,865,103,897
47,97,905,130,942
47,597,1088,639,1132
47,632,947,655,968
47,268,812,287,834
47,383,832,409,864
47,47,553,78,584
47,33,610,71,647
47,81,579,119,613
47,109,595,130,627
47,129,629,155,650
47,155,630,186,656
47,30,643,75,669
47,43,666,73,692
47,1,953,38,989
47,71,921,96,942
47,456,908,491,936
47,427,927,458,955
47,641,1083,681,1113
