47,8,185,24,209
47,0,211,8,229
47,8,220,24,241
47,19,190,37,217
47,39,195,60,216
47,43,217,60,234
47,56,225,75,242
47,62,243,87,265
47,42,270,64,292
47,149,107,167,130
47,149,127,168,144
47,184,132,205,153
47,166,191,188,209
47,246,163,267,191
47,257,186,277,209
47,204,207,220,226
47,95,221,111,240
47,93,277,124,309
47,123,265,154,300
47,181,280,200,307
47,122,301,150,329
47,243,144,263,165
47,88,300,100,335
47,56,338,85,370
47,88,342,116,378
47,127,348,159,377
47,160,358,185,388
47,0,361,10,392
47,0,388,18,408
47,13,392,36,414
47,40,372,64,395
47,74,410,98,431
47,122,379,149,406
47,130,402,162,426
47,169,411,190,434
47,190,434,217,459
47,30,526,66,555
47,58,560,98,594
47,34,649,65,676
47,109,668,144,701
47,168,665,200,693
47,203,703,235,728
47,135,779,158,798
47,177,573,199,600
47,267,607,288,620
47,228,742,258,766
47,229,770,240,794
47,158,805,169,823
47,226,834,238,852
47,266,925,283,951
47,306,908,325,931
47,329,800,358,825
47,271,947,296,966
47,286,662,315,690
47,264,690,292,712
47,280,703,310,733
47,421,752,440,773
47,457,773,464,795
47,482,782,504,807
47,526,813,558,828
47,339,227,358,253
47,236,295,271,334
47,318,380,351,416
47,369,368,398,400
47,397,338,425,359
47,372,340,398,365
47,299,432,332,463
47,306,462,331,482
47,369,462,398,493
47,396,466,407,489
47,430,482,450,511
47,453,261,472,283
47,510,274,529,293
47,619,334,642,362
47,589,356,619,383
47,567,373,587,394
47,638,379,661,403
47,533,636,565,665
47,545,663,574,687
47,482,674,507,702
47,590,711,612,728
47,558,718,581,740
47,539,740,563,759
47,181,394,204,421
47,163,227,183,249
47,112,225,129,248
47,37,390,63,409
47,191,471,214,488
47,461,429,483,448
47,618,374,639,395
47,627,676,645,686
47,664,783,692,809
47,126,619,141,635
47,83,653,105,673
47,0,691,26,718
47,365,842,392,856
47,396,852,408,867
47,644,855,667,879
47,637,864,648,876
